ORIGINAL IS,ORIGINAL IV,MASKED filename,MASKED IS,MASKED IV,IMPUTED filename,IMPUTED IS,IMPUTED IV,Mask,Weekday
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.18-22.MASKED.csv,0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.18-22.IMPUTED.csv,0.44,1.06,18-22,Wednesday
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.22-10.MASKED.csv,0.42,1.07,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.22-10.IMPUTED.csv,0.43,0.95,22-10,Wednesday
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.10-12.MASKED.csv,0.38,1.08,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.10-12.IMPUTED.csv,0.38,1.09,10-12,Saturday
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.10-14.MASKED.csv,0.37,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.10-14.IMPUTED.csv,0.38,1.09,10-14,Saturday
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.10-16.MASKED.csv,0.36,1.06,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.10-16.IMPUTED.csv,0.38,1.07,10-16,Saturday
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.10-34.MASKED.csv,0.33,1.04,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.10-34.IMPUTED.csv,0.35,1.11,10-34,Saturday
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.12-14.MASKED.csv,0.38,1.1,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.12-14.IMPUTED.csv,0.39,1.09,12-14,Saturday
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.14-16.MASKED.csv,0.37,1.08,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.14-16.IMPUTED.csv,0.38,1.08,14-16,Saturday
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.14-18.MASKED.csv,0.37,1.08,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.14-18.IMPUTED.csv,0.38,1.09,14-18,Saturday
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.16-18.MASKED.csv,0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.16-18.IMPUTED.csv,0.38,1.09,16-18,Saturday
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.16-22.MASKED.csv,0.37,1.06,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.16-22.IMPUTED.csv,0.37,1.06,16-22,Saturday
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.18-20.MASKED.csv,0.37,1.07,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.18-20.IMPUTED.csv,0.38,1.08,18-20,Saturday
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.18-22.MASKED.csv,0.37,1.07,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.18-22.IMPUTED.csv,0.39,1.08,18-22,Saturday
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.22-10.MASKED.csv,0.37,1.1,nparactformat_1001973_90001_2_0.cwa.RData.Saturday.22-10.IMPUTED.csv,0.18,0.83,22-10,Saturday
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.10-12.MASKED.csv,0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.10-12.IMPUTED.csv,0.38,1.09,10-12,Wednesday
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.10-14.MASKED.csv,0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.10-14.IMPUTED.csv,0.38,1.09,10-14,Wednesday
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.10-16.MASKED.csv,0.36,1.07,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.10-16.IMPUTED.csv,0.35,1.07,10-16,Wednesday
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.10-34.MASKED.csv,0.34,0.96,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.10-34.IMPUTED.csv,0.34,0.95,10-34,Wednesday
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.12-14.MASKED.csv,0.39,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.12-14.IMPUTED.csv,0.39,1.07,12-14,Wednesday
0.38,1.09,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.14-16.MASKED.csv,0.36,1.07,nparactformat_1001973_90001_2_0.cwa.RData.Wednesday.14-16.IMPUTED.csv,0.38,1.08,14-16,Wednesday
